t,x_world,y_world,yaw_deg_carla,vx,vy,yaw_rate,ax,ay,steer,throttle,brake,Fz_FL,Fz_FR,Fz_RL,Fz_RR
3.9,-38.69343948364258,3.2633235454559326,-78.45194244384766,9.388991946669883,0.21824668205312364,0.37390601269566426,-0.08576725636959154,3.515048909223181,0.10907686322530079,0.28330241599903516,0.0,2769.632679890466,4146.40615871165,2517.753576008342,3621.6729091870793
3.92,-38.66133117675781,3.078258514404297,-78.88054656982422,9.388907234092096,0.2183376633244133,0.3740740499311336,-0.08593585484452,3.516625986125453,0.1091275617993597,0.28332782977237103,0.0,2769.3418151487876,4146.732875439518,2517.487057912988,3621.901577943109
3.94,-38.63060760498047,2.892960548400879,-79.30924987792969,9.38882056623741,0.21842926978867835,0.37424301973320706,-0.08610474282307638,3.5182105121047917,0.10917868958453912,0.2833538301287771,0.0,2769.049500832279,4147.0610880647755,2517.219312751192,3622.1313813601537
3.96,-38.601280212402344,2.7074387073516846,-79.73824310302734,9.388731938024163,0.21852150746383722,0.37441292920320174,-0.08627456975621367,3.5198042023353477,0.10922999986610428,0.28338041859275104,0.0,2768.755499668464,4147.391171119056,2516.9500265568704,3622.3624960266025
3.98,-38.573341369628906,2.5217041969299316,-80.16737365722656,9.388641349253053,0.21861438049284534,0.3745837851125757,-0.08644465797470978,3.521405351769095,0.10928169603286494,0.2834075952240841,0.0,2768.460041637886,4147.722751508484,2516.6795126624265,3622.5947517199947
4.0,-38.54679870605469,2.3357670307159424,-80.59673309326172,9.388548797084587,0.21870788681758707,0.3747555889100903,-0.08661553452304027,3.5230151006508676,0.10933365952787497,0.28343536087462395,0.0,2768.1629863562525,4148.056080568176,2516.4075585161536,3622.828249975607
4.02,-38.52165222167969,2.149637460708618,-81.02626037597656,9.38845427931411,0.21880203024961375,0.37492834663795044,-0.08678690602098595,3.5246329274715187,0.10938597783901884,0.28346371620576677,0.0,2767.864388628615,4148.391041898862,2516.134263527056,3623.06295292804
4.04,-38.497901916503906,1.9633262157440186,-81.45599365234375,9.388357792443466,0.21889681449360404,0.37510206405518975,-0.08695901292232318,3.526259458582983,0.10943859916491303,0.28349266226696007,0.0,2767.564162399689,4148.72777230727,2515.859512931686,3623.298924508224
4.06,-38.475555419921875,1.7768440246582031,-81.88591003417969,9.388259333142353,0.21899224678535198,0.3752767499998056,-0.08713173427864018,3.5278945444840715,0.10949156112447057,0.2835222000572942,0.0,2767.262316652288,4149.066237500746,2515.583336695908,3623.5361599830526
4.08,-38.45460891723633,1.5902007818222046,-82.31609344482422,9.38815889751648,0.21908833421935517,0.3754524135653271,-0.08730517647335094,3.529538492857687,0.10954474621457942,0.28355233074505615,0.0,2766.95880690758,4149.406504444576,2515.3056788524677,3623.7746927429757
4.1,-38.43506622314453,1.4034072160720825,-82.74642944335938,9.388056485890413,0.21918507290079706,0.3756290560138836,-0.08747896857194354,3.5311900729450887,0.10959832171719537,0.2835830542328761,0.0,2766.6538208278,4149.748306621988,2515.0267609172593,3624.014380135783
4.12,-38.41693115234375,1.216474175453186,-83.17693328857422,9.38795209497843,0.2192824587197188,0.3758066773029049,-0.08765356704705578,3.5328504179398497,0.10965227038345168,0.2836143715064708,0.0,2766.347206694918,4150.0918921109105,2514.7463743909198,3624.2553342250035
4.14,-38.40019989013672,1.0294119119644165,-83.6076889038086,9.38784571820116,0.2193805057253406,0.37598529105068434,-0.08782901416732147,3.534520238410961,0.10970647160281778,0.2836462845396522,0.0,2766.038825046723,4150.437410263549,2514.4643984636286,3624.4976657769057
4.16,-38.38488006591797,0.842231035232544,-84.03863525390625,9.387737353413755,0.21947922112022225,0.3761649068429996,-0.08800495183334321,3.5361984958484123,0.10976102089072305,0.2836787939758736,0.0,2765.728825941371,4150.784635070746,2514.18102185484,3624.741261974067
4.18,-38.370975494384766,0.6549422144889832,-84.46981811523438,9.387626997819316,0.219578604124319,0.37634552818827227,-0.08818160700251387,3.5378855399193374,0.1098158548786031,0.28371190065420515,0.0,2765.417178106014,4151.133645352216,2513.8961766219627,3624.9861431478976
4.2,-38.35847854614258,0.46755602955818176,-84.90117645263672,9.387514649618002,0.21967865240383783,0.37652715724511615,-0.08835880003933606,3.5395808998138896,0.10987106345189314,0.28374560511459956,0.0,2765.1039466516772,4151.484338014848,2513.609949170056,3625.2322608346494
4.22,-38.34739685058594,0.28008314967155457,-85.332763671875,9.38740030476665,0.21977936627028616,0.376709797390623,-0.08853679027394162,3.5412853185024438,0.10992657353212279,0.28377990857000485,0.0,2764.7890248366857,4151.836874668325,2513.322204434063,3625.4796951377443
4.24,-38.337730407714844,0.09253425151109695,-85.76451873779297,9.387283960036939,0.21988074935599816,0.37689345447464717,-0.08871539458517673,3.542998476239798,0.10998248082468967,0.28381481198891834,0.0,2764.472445807644,4152.191183671779,2513.033003634073,3625.728423256972
4.26,-38.3294792175293,-0.09507997334003448,-86.196533203125,9.387165609642212,0.21998281003351325,0.37707813777248145,-0.08889490109107616,3.5447212728583746,0.11003864862383257,0.28385031710733644,0.0,2764.1540753539402,4152.547460316715,2512.742184062235,3625.978546684631
4.28,-38.32264709472656,-0.282748818397522,-86.62872314453125,9.387045251127029,0.22008555335228525,0.3772638548538772,-0.08907492258348272,3.5464526963587404,0.11009521097463502,0.2838864246618913,0.0,2763.834052935582,4152.905483250929,2512.4499312891467,3626.2299616862274
4.3,-38.317230224609375,-0.4704616069793701,-87.06114959716797,9.386922879837433,0.22018898175831503,0.37745061105184724,-0.08925581756709049,3.5481935849067963,0.11015207483975316,0.28392313604877,0.0,2763.5122698482996,4153.265436752802,2512.1560900146837,3626.4827478798857
4.32,-38.313232421875,-0.6582075357437134,-87.4937744140625,9.386798492114716,0.22029310024310716,0.3776384139720752,-0.08943734581566254,3.5499434645373946,0.11020930484902296,0.28396045236558526,0.0,2763.1887808282913,4153.627215535233,2511.8607496267446,3626.7368663442226
4.34,-38.3106575012207,-0.8459757566452026,-87.9266357421875,9.38667208362358,0.2203979116412932,0.3778272694921113,-0.08961967717369591,3.551702724183873,0.11026684614436988,0.283998374912926,0.0,2762.8635360767767,4153.99090514359,2511.563837941314,3626.99235341636
