t,x,y,yaw,yaw_rate,vx,vy,z_s,vz_s,pitch,roll,steer,z_u_FL,z_u_FR,z_u_RL,z_u_RR,Fz_FL,Fz_FR,Fz_RL,Fz_RR,Fx_FL,Fx_FR,Fx_RL,Fx_RR,Fy_FL,Fy_FR,Fy_RL,Fy_RR,kappa_FL,kappa_FR,kappa_RL,kappa_RR,alpha_FL,alpha_FR,alpha_RL,alpha_RR,alpha_dyn_FL,alpha_dyn_FR,alpha_dyn_RL,alpha_dyn_RR,w_FL,w_FR,w_RL,w_RR,airborne
0.13,1.9565490128023804,0.0,0.0,0.0,14.985699599889914,0.0,0.3815040942610633,0.00016030656574878122,-5.0461515601265876e-05,0.0,0.0,0.31416828565290006,0.31416828565290006,0.3159482275807302,0.3159482275807302,3482.9771563619906,3482.9771563619906,3091.3899322393568,3091.3899322393568,0.9853949764743326,0.9853949764743326,73.74350312970236,73.74350312970236,-0.0,-0.0,-0.0,-0.0,1.6820392217977756e-05,1.6820392217977756e-05,0.0013983927736364074,0.0013983927736364074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.41197474313589,45.41197474313589,45.4747136179342,45.4747136179342,False
0.14,2.1064006420139556,0.0,0.0,0.0,14.98462626423582,0.0,0.3815060291287911,0.0002255344785953819,-0.00011378999606898183,0.0,0.0,0.31419192282521197,0.31419192282521197,0.3159261432897058,0.3159261432897058,3477.7769784533707,3477.7769784533707,3096.248476264726,3096.248476264726,0.9853063360608258,0.9853063360608258,73.74037672072102,73.74037672072102,-0.0,-0.0,-0.0,-0.0,1.684080612976199e-05,1.684080612976199e-05,0.0013963844250579084,0.0013963844250579084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.40872308309594,45.40872308309594,45.47136534232276,45.47136534232276,False
0.15,2.256241538531105,0.0,0.0,0.0,14.983553061790493,0.0,0.38150858284796135,0.0002841256279542921,-0.000179667817625523,0.0,0.0,0.3142133594808887,0.3142133594808887,0.31590627639838126,0.31590627639838126,3473.0609142044923,3473.0609142044923,3100.6191923561264,3100.6191923561264,0.985209598037797,0.985209598037797,73.73751739471913,73.73751739471913,-0.0,-0.0,-0.0,-0.0,1.6859094246163898e-05,1.6859094246163898e-05,0.001394582278298637,0.001394582278298637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.40547173007183,45.40547173007183,45.468026846534585,45.468026846534585,False
0.16,2.4060717037104773,0.0,0.0,0.0,14.982479997594233,0.0,0.3815116901297935,0.00033625373633741775,-0.0002467246681769711,0.0,0.0,0.3142327207489426,0.3142327207489426,0.31588858921118207,0.31588858921118207,3468.8014352326322,3468.8014352326322,3104.510373539948,3104.510373539948,0.9851072550241937,0.9851072550241937,73.73468266847742,73.73468266847742,-0.0,-0.0,-0.0,-0.0,1.687539945108597e-05,1.687539945108597e-05,0.0013929767074632583,0.0013929767074632583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.40222070584533,45.40222070584533,45.46469770682096,45.46469770682096,False
0.17,2.5558911389635433,0.0,0.0,0.0,14.981407077578886,0.0,0.38151528610184865,0.000381829157994885,-0.00031374447152465924,0.0,0.0,0.3142499973839773,0.3142499973839773,0.3158731281934529,0.3158731281934529,3465.000575524998,3465.000575524998,3107.9117974403603,3107.9117974403603,0.9849998189398487,0.9849998189398487,73.73180185120708,73.73180185120708,-0.0,-0.0,-0.0,-0.0,1.688970780206187e-05,1.688970780206187e-05,0.0013915689405235236,0.0013915689405235236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.398970027778454,45.398970027778454,45.46137799501025,45.46137799501025,False
0.18,2.705699845763837,0.0,0.0,0.0,14.980334308079623,0.0,0.3815193039532794,0.0004205751266693628,-0.0003796554394895268,0.0,0.0,0.3142651428065925,0.3142651428065925,0.3158599314594116,0.3158599314594116,3461.6685825496506,3461.6685825496506,3110.815078929451,3110.815078929451,0.9848873530475526,0.9848873530475526,73.72889921689689,73.72889921689689,-0.0,-0.0,-0.0,-0.0,1.6901964156174353e-05,1.6901964156174353e-05,0.0013903614312212877,0.0013903614312212877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.39571971258529,45.39571971258529,45.45806783978296,45.45806783978296,False
0.19,2.855497825646367,0.0,0.0,0.0,14.979261694905075,0.0,0.38152367374248874,0.0004521649791258347,-0.000443526923014764,0.0,0.0,0.3142781289457417,0.3142781289457417,0.3158489896302787,0.3158489896302787,3458.81163193683,3458.81163193683,3113.2222813386925,3113.2222813386925,0.984770183949662,0.984770183949662,73.72603447840245,73.72603447840245,-0.0,-0.0,-0.0,-0.0,1.6912136567413265e-05,1.6912136567413265e-05,0.001389353334594084,0.001389353334594084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.39246977643799,45.39246977643799,45.45476721845651,45.45476721845651,False
0.2,3.005285080198271,0.0,0.0,0.0,14.978189242572535,0.0,0.38152832251897334,0.00047633942187027785,-0.000504568166210036,0.0,0.0,0.31428896897638064,0.31428896897638064,0.3158402396816912,0.3158402396816912,3456.4268251962617,3456.4268251962617,3115.1472700279337,3115.1472700279337,0.9846490481764316,0.9846490481764316,73.72326873384725,73.72326873384725,-0.0,-0.0,-0.0,-0.0,1.6920240450710745e-05,1.6920240450710745e-05,0.0013885393635314988,0.0013885393635314988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.38922023374556,45.38922023374556,45.451475902819,45.451475902819,False
0.21,3.1550616110435534,0.0,0.0,0.0,14.977116953900383,0.0,0.3815331753875854,0.0004929764064245644,-0.0005621261069917875,0.0,0.0,0.3142977198929605,0.3142977198929605,0.3158335738799318,0.3158335738799318,3454.50162354869,3454.50162354869,3116.6137464150133,3116.6137464150133,0.9845249779591979,0.9845249779591979,73.72065040646171,73.72065040646171,-0.0,-0.0,-0.0,-0.0,1.6926339338514655e-05,1.6926339338514655e-05,0.0013879103201255368,0.0013879103201255368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.38597109595229,45.38597109595229,45.448193482080086,45.448193482080086,False
0.22,3.304827419825429,0.0,0.0,0.0,14.97604482991734,0.0,0.3815381570402403,0.0005021166731328604,-0.0006156810779194259,0.0,0.0,0.31430447572144843,0.31430447572144843,0.31582885259170085,0.31582885259170085,3453.0153412813493,3453.0153412813493,3117.652429825817,3117.652429825817,0.9843991310475118,0.9843991310475118,73.71821278227223,73.71821278227223,-0.0,-0.0,-0.0,-0.0,1.6930535689465817e-05,1.6930535689465817e-05,0.001387454158572651,0.001387454158572651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.38272237084491,45.38272237084491,45.44491941089569,45.44491941089569,False
