t,x,vx,z_s,vz_s,pitch,pitch_rate,z_u_FL,z_u_FR,z_u_RL,z_u_RR,Fz_FL,Fz_FR,Fz_RL,Fz_RR,ground_FL,ground_RL,airborne
0.77,11.626769301234916,15.179583625212796,0.3815570421193208,4.457041632105473e-05,-0.0005906991700649638,-0.00014478367703288724,0.31420622382978425,0.31420622382978425,0.31592781863242386,0.31592781863242386,3474.630757447469,3474.630757447469,3095.879900866754,3095.879900866754,0.0,0.0,False
0.78,11.778576747856478,15.181905663518968,0.3815574919636376,4.52768360333901e-05,-0.0005920864860295021,-0.00013254124293303409,0.31420644670080355,0.31420644670080355,0.3159277932895914,0.3159277932895914,3474.5817258232214,3474.5817258232214,3095.8854762898914,3095.8854762898914,0.0,0.0,False
0.79,11.930407413792267,15.184227487913262,0.3815579453240534,4.528382050655613e-05,-0.0005933477442305288,-0.00011962269829144809,0.3142066140559896,0.3142066140559896,0.31592780633651846,0.31592780633651846,3474.544907682292,3474.544907682292,3095.8826059659427,3095.8826059659427,0.0,0.0,False
0.8,12.082261296898714,15.186549097497815,0.38155839551911236,4.465463976842161e-05,-0.0005944776548580153,-0.0001063176617190729,0.31420672973757846,0.31420672973757846,0.31592785287260255,0.31592785287260255,3474.519457732742,3474.519457732742,3095.8723680274416,3095.8723680274416,0.0,0.0,False
0.81,12.234138395023052,15.18887049133113,0.3815588365185274,4.34560346730318e-05,-0.0005954736829922408,-9.288730566643541e-05,0.31420679793294626,0.31420679793294626,0.31592792801579833,0.31592792801579833,3474.504454751827,3474.504454751827,3095.8558365243703,3095.8558365243703,0.0,0.0,False
0.82,12.38603870600294,15.191191668445706,0.3815592629713318,4.1756918971649365e-05,-0.0005963357595597942,-7.956354059821165e-05,0.314206823070407,0.314206823070407,0.3159280269839745,0.3159280269839745,3474.4989245104675,3474.4989245104675,3095.8340635256163,3095.8340635256163,0.0,0.0,False
0.83,12.537962227666307,15.193512627864436,0.38155967022147325,3.962716761217483e-05,-0.0005970659870445607,-6.65487711229389e-05,0.3142068097234565,0.3142068097234565,0.3159281451647292,0.3159281451647292,3474.501860839575,3474.501860839575,3095.808063759574,3095.808063759574,0.0,0.0,False
0.84,12.68990895783133,15.19583336861565,0.38156005431176665,3.713650180124545e-05,-0.0005976683453503035,-5.401615931646068e-05,0.3142067625239484,0.3142067625239484,0.31592827817387314,0.31592827817387314,3474.5122447313524,3474.5122447313524,3095.7788017479115,3095.7788017479115,0.0,0.0,False
0.85,12.841878894306552,15.198153889746719,0.38156041197721635,3.435347886764068e-05,-0.0005981484025606596,-4.211033003730613e-05,0.31420668608449376,0.31420668608449376,0.3159284219029527,0.3159284219029527,3474.5290614113765,3474.5290614113765,3095.7471813504035,3095.7471813504035,0.0,0.0,False
0.86,12.993872034891123,15.20047419033608,0.3815607406287844,3.134459257882392e-05,-0.0005985130346927934,-3.0948453695993225e-05,0.3142065849301976,0.3142065849301976,0.31592857255633255,0.31592857255633255,3474.551315356532,3474.551315356532,3095.7140376068414,3095.7140376068414,0.0,0.0,False
0.87,13.145888377375192,15.202794269503707,0.3815610383287308,2.8173487318966162e-05,-0.000598770157903033,-2.062164358180179e-05,0.314206463439691,0.314206463439691,0.3159287266784625,0.3159287266784625,3474.578043267984,3474.578043267984,3095.680130738253,3095.680130738253,0.0,0.0,False
