Fz,kappa,alpha,gamma,Fx,Fy,Mz
1999.992114,0.1190009434,-0.06981242836,0,2361.445751,1505.828068,-9.166529652
1999.988935,0.1164452556,-0.01745256424,0,2351.605123,436.903554,-6.082263813
1999.988402,0.11627524,7.240543609e-07,0,2350.922707,-0.02001643021,-0.0002313528903
1999.988314,0.1164452975,0.01745401386,0,2351.603939,-436.9423769,6.081572669
1999.989947,0.1190011059,0.06981389871,0,2361.441623,-1505.852233,9.165416331
1999.992436,0.1272455756,0.1396270938,0,2388.382528,-2110.742462,6.298531985
4000.021766,-0.1919900806,-0.1396287888,0,-4794.454018,4289.054563,-13.68949053
4000.016256,-0.1978997704,-0.06981562583,0,-4789.549035,3336.488548,-26.77291499
4000.005027,-0.1997317209,-0.01745575885,0,-4787.751585,1031.321259,-24.99616181
4000.002765,-0.199853609,-2.479653373e-06,0,-4787.623959,0.1368803489,-0.002481526026
4000.002252,-0.1997317507,0.01745080086,0,-4787.743265,-1031.060486,24.99664135
4000.00731,-0.1978999213,0.06981068302,0,-4789.522152,-3336.36662,26.77824586
4000.010783,-0.191990485,0.1396238673,0,-4794.420018,-4289.04535,13.69445091
4000.021097,-0.1254480763,-0.1396287396,0,-4683.856199,4232.363923,-15.25321402
4000.014959,-0.1318444344,-0.06981559222,0,-4716.009841,3177.62551,-27.8546553
4000.004619,-0.1338272622,-0.0174557296,0,-4724.580226,954.9660392,-23.88561728
4000.002599,-0.1339591911,-2.449829804e-06,0,-4725.12528,0.1242051838,-0.002101158009
4000.002058,-0.1338272969,0.01745083176,0,-4724.572781,-954.7277717,23.88595634
4000.006461,-0.1318446006,0.06981071803,0,-4715.985445,-3177.501571,27.85978637
4000.010247,-0.1254485036,0.1396239203,0,-4683.82594,-4232.348592,15.25806962
4000.019817,-0.07791808634,-0.1396284802,0,-4100.20604,4186.594016,-16.35652181
4000.013208,-0.08466204636,-0.06981537827,0,-4236.259794,3069.393508,-28.51759114
4000.003373,-0.08675263348,-0.01745552792,0,-4273.744754,906.9103601,-23.12935649
4000.001485,-0.08689173126,-2.248219048e-06,0,-4276.162398,0.1085699069,-0.001753828222
